Code région;Nom de la région;Code département;Code arrondissement;Code canton;Code commune;Nom de la commune;Population municipale;Population comptée à part;Population totale;
52;Pays de la Loire;85;3;17;152;Les Achards;5 271;108;5 379;
52;Pays de la Loire;85;1;09;001;L' Aiguillon-sur-Mer;2 061;35;2 096;
52;Pays de la Loire;85;3;15;002;L' Aiguillon-sur-Vie;2 024;24;2 048;
52;Pays de la Loire;85;2;01;003;Aizenay;9 881;198;10 079;
52;Pays de la Loire;85;3;09;004;Angles;2 878;34;2 912;
52;Pays de la Loire;85;1;04;005;Antigny;1 054;21;1 075;
52;Pays de la Loire;85;2;02;006;Apremont;1 854;13;1 867;
52;Pays de la Loire;85;2;13;008;Aubigny-Les Clouzeaux;6 880;104;6 984;
52;Pays de la Loire;85;1;05;009;Auchay-sur-Vendée;1 165;24;1 189;
52;Pays de la Loire;85;3;17;010;Avrillé;1 423;20;1 443;
52;Pays de la Loire;85;3;16;011;Barbâtre;1 723;52;1 775;
52;Pays de la Loire;85;3;16;012;La Barre-de-Monts;2 179;48;2 227;
52;Pays de la Loire;85;2;10;013;Bazoges-en-Paillers;1 460;28;1 488;
52;Pays de la Loire;85;1;04;014;Bazoges-en-Pareds;1 149;27;1 176;
52;Pays de la Loire;85;2;01;015;Beaufou;1 514;21;1 535;
52;Pays de la Loire;85;3;17;016;Beaulieu-sous-la-Roche;2 252;30;2 282;
52;Pays de la Loire;85;2;11;017;Beaurepaire;2 442;49;2 491;
52;Pays de la Loire;85;3;16;018;Beauvoir-sur-Mer;3 880;60;3 940;
52;Pays de la Loire;85;2;01;019;Bellevigny;6 095;123;6 218;
52;Pays de la Loire;85;1;05;020;Benet;4 014;75;4 089;
52;Pays de la Loire;85;3;17;022;Le Bernard;1 239;18;1 257;
52;Pays de la Loire;85;2;11;021;La Bernardière;1 868;35;1 903;
52;Pays de la Loire;85;1;09;023;Bessay;439;9;448;
52;Pays de la Loire;85;3;02;024;Bois-de-Céné;2 048;34;2 082;
52;Pays de la Loire;85;2;10;025;La Boissière-de-Montaigu;2 272;52;2 324;
52;Pays de la Loire;85;3;09;026;La Boissière-des-Landes;1 417;18;1 435;
52;Pays de la Loire;85;1;05;028;Bouillé-Courdault;595;8;603;
52;Pays de la Loire;85;3;16;029;Bouin;2 156;36;2 192;
52;Pays de la Loire;85;1;03;031;Le Boupère;3 227;43;3 270;
52;Pays de la Loire;85;1;04;033;Bourneau;731;19;750;
52;Pays de la Loire;85;2;03;034;Bournezeau;3 403;101;3 504;
52;Pays de la Loire;85;3;15;243;Brem-sur-Mer;2 817;49;2 866;
52;Pays de la Loire;85;3;15;035;Bretignolles-sur-Mer;5 066;89;5 155;
52;Pays de la Loire;85;1;09;036;La Bretonnière-la-Claye;573;11;584;
52;Pays de la Loire;85;1;04;037;Breuil-Barret;590;16;606;
52;Pays de la Loire;85;2;10;038;Les Brouzils;2 816;44;2 860;
52;Pays de la Loire;85;2;11;039;La Bruffière;4 028;61;4 089;
52;Pays de la Loire;85;1;04;040;La Caillère-Saint-Hilaire;1 128;24;1 152;
52;Pays de la Loire;85;1;04;041;Cezais;296;12;308;
52;Pays de la Loire;85;1;08;042;Chaillé-les-Marais;1 883;24;1 907;
52;Pays de la Loire;85;3;15;045;La Chaize-Giraud;1 083;14;1 097;
52;Pays de la Loire;85;2;13;046;La Chaize-le-Vicomte;3 799;58;3 857;
52;Pays de la Loire;85;3;02;047;Challans;21 322;773;22 095;
52;Pays de la Loire;85;3;09;050;Le Champ-Saint-Père;1 857;22;1 879;
52;Pays de la Loire;85;1;08;049;Champagné-les-Marais;1 783;16;1 799;
52;Pays de la Loire;85;2;03;051;Chantonnay;8 394;471;8 865;
52;Pays de la Loire;85;2;11;302;Chanverrie;5 453;130;5 583;
52;Pays de la Loire;85;1;04;053;La Chapelle-aux-Lys;260;3;263;
52;Pays de la Loire;85;3;17;054;La Chapelle-Hermier;900;7;907;
52;Pays de la Loire;85;2;02;055;La Chapelle-Palluau;935;18;953;
52;Pays de la Loire;85;1;04;056;La Chapelle-Thémer;391;9;400;
52;Pays de la Loire;85;1;08;058;Chasnais;735;20;755;
52;Pays de la Loire;85;1;04;059;La Châtaigneraie;2 586;36;2 622;
52;Pays de la Loire;85;1;09;061;Château-Guibert;1 506;33;1 539;
52;Pays de la Loire;85;3;02;062;Châteauneuf;1 114;20;1 134;
52;Pays de la Loire;85;2;10;064;Chauché;2 469;33;2 502;
52;Pays de la Loire;85;2;10;065;Chavagnes-en-Paillers;3 552;101;3 653;
52;Pays de la Loire;85;1;06;066;Chavagnes-les-Redoux;834;17;851;
52;Pays de la Loire;85;1;04;067;Cheffois;994;21;1 015;
52;Pays de la Loire;85;3;15;070;Coëx;3 285;37;3 322;
52;Pays de la Loire;85;3;15;071;Commequiers;3 605;57;3 662;
52;Pays de la Loire;85;2;10;072;La Copechagnière;1 018;11;1 029;
52;Pays de la Loire;85;1;09;073;Corpe;1 014;16;1 030;
52;Pays de la Loire;85;1;09;074;La Couture;224;3;227;
52;Pays de la Loire;85;2;11;076;Cugand;3 563;90;3 653;
52;Pays de la Loire;85;3;09;077;Curzon;538;8;546;
52;Pays de la Loire;85;1;05;078;Damvix;741;17;758;
52;Pays de la Loire;85;1;05;080;Doix lès Fontaines;1 731;33;1 764;
52;Pays de la Loire;85;2;12;081;Dompierre-sur-Yon;4 344;114;4 458;
52;Pays de la Loire;85;2;06;082;Les Epesses;2 914;57;2 971;
52;Pays de la Loire;85;3;16;083;L' Épine;1 633;40;1 673;
52;Pays de la Loire;85;2;03;084;Essarts en Bocage;9 174;166;9 340;
52;Pays de la Loire;85;2;02;086;Falleron;1 637;15;1 652;
52;Pays de la Loire;85;3;09;307;La Faute-sur-Mer;665;8;673;
52;Pays de la Loire;85;1;05;087;Faymoreau;198;4;202;
52;Pays de la Loire;85;3;15;088;Le Fenouiller;4 854;136;4 990;
52;Pays de la Loire;85;2;03;089;La Ferrière;5 315;157;5 472;
52;Pays de la Loire;85;1;05;092;Fontenay-le-Comte;13 235;724;13 959;
52;Pays de la Loire;85;2;03;093;Fougeré;1 224;22;1 246;
52;Pays de la Loire;85;1;05;094;Foussais-Payré;1 157;30;1 187;
52;Pays de la Loire;85;3;02;095;Froidfond;1 942;21;1 963;
52;Pays de la Loire;85;3;02;096;La Garnache;5 114;100;5 214;
52;Pays de la Loire;85;2;11;097;La Gaubretière;3 111;67;3 178;
52;Pays de la Loire;85;2;01;098;La Genétouze;1 982;37;2 019;
52;Pays de la Loire;85;3;17;099;Le Girouard;1 097;23;1 120;
52;Pays de la Loire;85;3;15;100;Givrand;2 230;52;2 282;
52;Pays de la Loire;85;3;09;101;Le Givre;489;5;494;
52;Pays de la Loire;85;2;02;102;Grand'Landes;692;9;701;
52;Pays de la Loire;85;3;17;103;Grosbreuil;2 229;31;2 260;
52;Pays de la Loire;85;1;08;104;Grues;895;11;906;
52;Pays de la Loire;85;1;08;105;Le Gué-de-Velluire;529;13;542;
52;Pays de la Loire;85;3;16;106;La Guérinière;1 320;35;1 355;
52;Pays de la Loire;85;2;01;108;L' Herbergement;3 297;110;3 407;
52;Pays de la Loire;85;2;06;109;Les Herbiers;16 250;485;16 735;
52;Pays de la Loire;85;1;04;110;L' Hermenault;924;14;938;
52;Pays de la Loire;85;1;08;111;L' Île-d'Elle;1 501;23;1 524;
52;Pays de la Loire;85;3;17;112;L' Île-d'Olonne;2 783;59;2 842;
52;Pays de la Loire;85;3;07;113;L' Île-d'Yeu;4 850;138;4 988;
52;Pays de la Loire;85;3;17;114;Jard-sur-Mer;2 665;31;2 696;
52;Pays de la Loire;85;1;04;115;La Jaudonnière;600;11;611;
52;Pays de la Loire;85;3;09;116;La Jonchère;461;6;467;
52;Pays de la Loire;85;1;08;117;Lairoux;621;19;640;
52;Pays de la Loire;85;2;12;118;Landeronde;2 363;50;2 413;
52;Pays de la Loire;85;2;11;119;Les Landes-Genusson;2 403;42;2 445;
52;Pays de la Loire;85;3;15;120;Landevieille;1 449;36;1 485;
52;Pays de la Loire;85;1;05;121;Le Langon;993;31;1 024;
52;Pays de la Loire;85;1;05;123;Liez;280;4;284;
52;Pays de la Loire;85;1;04;125;Loge-Fougereuse;400;4;404;
52;Pays de la Loire;85;1;05;126;Longèves;1 341;50;1 391;
52;Pays de la Loire;85;3;17;127;Longeville-sur-Mer;2 405;26;2 431;
52;Pays de la Loire;85;2;01;129;Les Lucs-sur-Boulogne;3 522;72;3 594;
52;Pays de la Loire;85;1;08;128;Luçon;9 554;386;9 940;
52;Pays de la Loire;85;2;02;130;Maché;1 589;20;1 609;
52;Pays de la Loire;85;1;08;131;Les Magnils-Reigniers;1 486;40;1 526;
52;Pays de la Loire;85;1;05;132;Maillé;749;13;762;
52;Pays de la Loire;85;1;05;133;Maillezais;921;23;944;
52;Pays de la Loire;85;2;11;134;Mallièvre;243;10;253;
52;Pays de la Loire;85;1;09;135;Mareuil-sur-Lay-Dissais;2 792;122;2 914;
52;Pays de la Loire;85;1;04;136;Marillet;123;1;124;
52;Pays de la Loire;85;1;04;137;Marsais-Sainte-Radégonde;480;14;494;
52;Pays de la Loire;85;3;17;138;Martinet;1 171;12;1 183;
52;Pays de la Loire;85;1;05;139;Le Mazeau;445;14;459;
52;Pays de la Loire;85;1;06;140;La Meilleraie-Tillay;1 502;43;1 545;
52;Pays de la Loire;85;1;04;141;Menomblet;675;13;688;
52;Pays de la Loire;85;2;03;142;La Merlatière;1 014;23;1 037;
52;Pays de la Loire;85;1;05;143;Mervent;1 047;20;1 067;
52;Pays de la Loire;85;2;10;144;Mesnard-la-Barotière;1 504;27;1 531;
52;Pays de la Loire;85;1;06;145;Monsireigne;957;17;974;
52;Pays de la Loire;85;2;10;146;Montaigu-Vendée;20 424;634;21 058;
52;Pays de la Loire;85;1;06;147;Montournais;1 641;50;1 691;
52;Pays de la Loire;85;1;05;148;Montreuil;814;23;837;
52;Pays de la Loire;85;2;01;197;Montréverd;3 761;58;3 819;
52;Pays de la Loire;85;1;08;149;Moreilles;413;5;418;
52;Pays de la Loire;85;2;11;151;Mortagne-sur-Sèvre;6 059;168;6 227;
52;Pays de la Loire;85;2;06;153;Mouchamps;2 922;46;2 968;
52;Pays de la Loire;85;2;12;155;Mouilleron-le-Captif;4 971;123;5 094;
52;Pays de la Loire;85;1;04;154;Mouilleron-Saint-Germain;1 806;92;1 898;
52;Pays de la Loire;85;3;09;156;Moutiers-les-Mauxfaits;2 212;34;2 246;
52;Pays de la Loire;85;1;09;157;Moutiers-sur-le-Lay;761;12;773;
52;Pays de la Loire;85;1;08;158;Mouzeuil-Saint-Martin;1 194;27;1 221;
52;Pays de la Loire;85;1;08;159;Nalliers;2 310;47;2 357;
52;Pays de la Loire;85;2;13;160;Nesmy;2 912;45;2 957;
52;Pays de la Loire;85;3;17;161;Nieul-le-Dolent;2 549;26;2 575;
52;Pays de la Loire;85;3;16;163;Noirmoutier-en-l'Île;4 550;106;4 656;
52;Pays de la Loire;85;3;16;164;Notre-Dame-de-Monts;2 149;47;2 196;
52;Pays de la Loire;85;3;16;189;Notre-Dame-de-Riez;2 156;44;2 200;
52;Pays de la Loire;85;1;05;167;L' Orbrie;787;17;804;
52;Pays de la Loire;85;2;02;169;Palluau;1 106;17;1 123;
52;Pays de la Loire;85;1;09;171;Péault;608;23;631;
52;Pays de la Loire;85;3;16;172;Le Perrier;2 056;34;2 090;
52;Pays de la Loire;85;1;04;174;Petosse;687;18;705;
52;Pays de la Loire;85;1;09;175;Les Pineaux;660;3;663;
52;Pays de la Loire;85;1;05;176;Pissotte;1 160;36;1 196;
52;Pays de la Loire;85;2;01;178;Le Poiré-sur-Vie;8 596;220;8 816;
52;Pays de la Loire;85;3;17;179;Poiroux;1 158;11;1 169;
52;Pays de la Loire;85;1;08;181;Pouillé;644;17;661;
52;Pays de la Loire;85;1;06;182;Pouzauges;5 557;204;5 761;
52;Pays de la Loire;85;1;05;184;Puy-de-Serre;321;7;328;
52;Pays de la Loire;85;1;08;185;Puyravault;657;6;663;
52;Pays de la Loire;85;2;10;186;La Rabatelière;999;15;1 014;
52;Pays de la Loire;85;1;06;187;Réaumur;862;15;877;
52;Pays de la Loire;85;1;04;188;La Réorthe;1 097;22;1 119;
52;Pays de la Loire;85;1;05;162;Rives-d'Autise;2 094;51;2 145;
52;Pays de la Loire;85;2;09;213;Rives de l'Yon;4 217;171;4 388;
52;Pays de la Loire;85;2;99;191;La Roche-sur-Yon;55 147;2 956;58 103;
52;Pays de la Loire;85;2;01;190;Rocheservière;3 400;47;3 447;
52;Pays de la Loire;85;2;03;192;Rochetrejoux;988;9;997;
52;Pays de la Loire;85;1;09;193;Rosnay;645;17;662;
52;Pays de la Loire;85;3;14;194;Les Sables-d'Olonne;45 030;1 433;46 463;
52;Pays de la Loire;85;2;10;196;Saint-André-Goule-d'Oie;1 892;16;1 908;
52;Pays de la Loire;85;2;11;198;Saint-Aubin-des-Ormeaux;1 344;18;1 362;
52;Pays de la Loire;85;1;04;199;Saint-Aubin-la-Plaine;542;6;548;
52;Pays de la Loire;85;3;09;200;Saint-Avaugourd-des-Landes;1 082;21;1 103;
52;Pays de la Loire;85;3;09;201;Saint-Benoist-sur-Mer;493;6;499;
52;Pays de la Loire;85;3;02;204;Saint-Christophe-du-Ligneron;2 586;43;2 629;
52;Pays de la Loire;85;1;04;205;Saint-Cyr-des-Gâts;528;8;536;
52;Pays de la Loire;85;3;09;206;Saint-Cyr-en-Talmondais;394;13;407;
52;Pays de la Loire;85;1;08;207;Saint-Denis-du-Payré;389;8;397;
52;Pays de la Loire;85;2;01;208;Saint-Denis-la-Chevasse;2 376;37;2 413;
52;Pays de la Loire;85;1;04;209;Saint-Étienne-de-Brillouet;642;9;651;
52;Pays de la Loire;85;2;02;210;Saint-Étienne-du-Bois;2 135;25;2 160;
52;Pays de la Loire;85;2;10;215;Saint-Fulgent;3 814;139;3 953;
52;Pays de la Loire;85;3;17;218;Saint-Georges-de-Pointindoux;1 696;15;1 711;
52;Pays de la Loire;85;2;03;220;Saint-Germain-de-Prinçay;1 598;27;1 625;
52;Pays de la Loire;85;3;16;221;Saint-Gervais;2 697;36;2 733;
52;Pays de la Loire;85;3;15;222;Saint-Gilles-Croix-de-Vie;7 862;250;8 112;
52;Pays de la Loire;85;3;15;226;Saint-Hilaire-de-Riez;11 297;204;11 501;
52;Pays de la Loire;85;1;04;229;Saint-Hilaire-de-Voust;585;12;597;
52;Pays de la Loire;85;1;05;227;Saint-Hilaire-des-Loges;1 921;52;1 973;
52;Pays de la Loire;85;3;17;231;Saint-Hilaire-la-Forêt;790;15;805;
52;Pays de la Loire;85;2;03;232;Saint-Hilaire-le-Vouhis;1 079;23;1 102;
52;Pays de la Loire;85;1;04;233;Saint-Jean-de-Beugné;604;9;613;
52;Pays de la Loire;85;3;16;234;Saint-Jean-de-Monts;8 696;226;8 922;
52;Pays de la Loire;85;1;04;235;Saint-Juire-Champgillon;421;13;434;
52;Pays de la Loire;85;3;17;236;Saint-Julien-des-Landes;1 872;21;1 893;
52;Pays de la Loire;85;1;04;237;Saint-Laurent-de-la-Salle;378;12;390;
52;Pays de la Loire;85;2;11;238;Saint-Laurent-sur-Sèvre;3 689;441;4 130;
52;Pays de la Loire;85;3;15;239;Saint-Maixent-sur-Vie;1 124;5;1 129;
52;Pays de la Loire;85;2;11;240;Saint-Malô-du-Bois;1 615;50;1 665;
52;Pays de la Loire;85;2;06;242;Saint-Mars-la-Réorthe;999;20;1 019;
52;Pays de la Loire;85;1;05;244;Saint-Martin-de-Fraigneau;821;58;879;
52;Pays de la Loire;85;1;04;245;Saint-Martin-des-Fontaines;171;2;173;
52;Pays de la Loire;85;2;03;246;Saint-Martin-des-Noyers;2 483;39;2 522;
52;Pays de la Loire;85;2;11;247;Saint-Martin-des-Tilleuls;1 082;18;1 100;
52;Pays de la Loire;85;1;04;248;Saint-Martin-Lars-en-Sainte-Hermine;416;12;428;
52;Pays de la Loire;85;3;17;250;Saint-Mathurin;2 323;35;2 358;
52;Pays de la Loire;85;1;04;251;Saint-Maurice-des-Noues;632;18;650;
52;Pays de la Loire;85;1;04;252;Saint-Maurice-le-Girard;593;24;617;
52;Pays de la Loire;85;1;06;254;Saint-Mesmin;1 755;44;1 799;
52;Pays de la Loire;85;1;08;255;Saint-Michel-en-l'Herm;2 341;80;2 421;
52;Pays de la Loire;85;1;05;256;Saint-Michel-le-Cloucq;1 287;32;1 319;
52;Pays de la Loire;85;2;06;259;Saint-Paul-en-Pareds;1 328;35;1 363;
52;Pays de la Loire;85;2;02;260;Saint-Paul-Mont-Penit;826;11;837;
52;Pays de la Loire;85;2;01;262;Saint-Philbert-de-Bouaine;3 535;39;3 574;
52;Pays de la Loire;85;1;04;264;Saint-Pierre-du-Chemin;1 331;20;1 351;
52;Pays de la Loire;85;1;05;265;Saint-Pierre-le-Vieux;940;21;961;
52;Pays de la Loire;85;2;03;266;Saint-Prouant;1 662;29;1 691;
52;Pays de la Loire;85;3;15;268;Saint-Révérend;1 459;31;1 490;
52;Pays de la Loire;85;1;05;269;Saint-Sigismond;419;7;426;
52;Pays de la Loire;85;1;04;271;Saint-Sulpice-en-Pareds;436;13;449;
52;Pays de la Loire;85;3;16;273;Saint-Urbain;1 879;35;1 914;
52;Pays de la Loire;85;1;04;274;Saint-Valérien;532;12;544;
52;Pays de la Loire;85;2;03;276;Saint-Vincent-Sterlanges;759;13;772;
52;Pays de la Loire;85;3;09;277;Saint-Vincent-sur-Graon;1 535;25;1 560;
52;Pays de la Loire;85;3;17;278;Saint-Vincent-sur-Jard;1 312;22;1 334;
52;Pays de la Loire;85;2;03;202;Sainte-Cécile;1 597;114;1 711;
52;Pays de la Loire;85;3;17;211;Sainte-Flaive-des-Loups;2 439;25;2 464;
52;Pays de la Loire;85;3;17;214;Sainte-Foy;2 378;47;2 425;
52;Pays de la Loire;85;1;08;216;Sainte-Gemme-la-Plaine;2 058;213;2 271;
52;Pays de la Loire;85;1;04;223;Sainte-Hermine;2 940;62;3 002;
52;Pays de la Loire;85;1;09;261;Sainte-Pexine;278;12;290;
52;Pays de la Loire;85;1;08;267;Sainte-Radégonde-des-Noyers;934;18;952;
52;Pays de la Loire;85;3;02;280;Sallertaine;3 171;71;3 242;
52;Pays de la Loire;85;1;04;281;Sérigné;987;30;1 017;
52;Pays de la Loire;85;1;06;090;Sèvremont;6 423;255;6 678;
52;Pays de la Loire;85;2;03;282;Sigournais;912;16;928;
52;Pays de la Loire;85;3;16;284;Soullans;4 259;95;4 354;
52;Pays de la Loire;85;2;09;285;Le Tablier;740;13;753;
52;Pays de la Loire;85;1;08;286;La Taillée;561;5;566;
52;Pays de la Loire;85;1;06;287;Tallud-Sainte-Gemme;458;8;466;
52;Pays de la Loire;85;3;17;288;Talmont-Saint-Hilaire;7 831;185;8 016;
52;Pays de la Loire;85;1;04;289;La Tardière;1 327;26;1 353;
52;Pays de la Loire;85;1;04;290;Thiré;553;13;566;
52;Pays de la Loire;85;2;03;291;Thorigny;1 231;20;1 251;
52;Pays de la Loire;85;1;04;292;Thouarsais-Bouildroux;778;10;788;
52;Pays de la Loire;85;2;11;293;Tiffauges;1 576;38;1 614;
52;Pays de la Loire;85;3;09;294;La Tranche-sur-Mer;2 904;65;2 969;
52;Pays de la Loire;85;2;10;295;Treize-Septiers;3 280;82;3 362;
52;Pays de la Loire;85;2;11;296;Treize-Vents;1 246;24;1 270;
52;Pays de la Loire;85;1;08;297;Triaize;986;15;1 001;
52;Pays de la Loire;85;3;17;298;Vairé;1 744;31;1 775;
52;Pays de la Loire;85;1;05;177;Les Velluire-sur-Vendée;1 383;22;1 405;
52;Pays de la Loire;85;2;12;300;Venansault;4 628;178;4 806;
52;Pays de la Loire;85;2;10;301;Vendrennes;1 772;22;1 794;
52;Pays de la Loire;85;1;05;303;Vix;1 809;30;1 839;
52;Pays de la Loire;85;1;08;304;Vouillé-les-Marais;753;10;763;
52;Pays de la Loire;85;1;04;305;Vouvant;880;49;929;
52;Pays de la Loire;85;1;05;306;Xanton-Chassenon;732;9;741;
